Query API,Meaning
company,Company Name
company_size,Company Size
job_title,Job Title
level,Level (Based on company's internal level system)
domain,Domain (Industry)
yoe_total,Years of Experience
yoe_at_company,Years of Experience at Company
base,Base Salary (USD - Annual)
stock,Stock (USD - Annual)
bonus,Bonus (USD - Annual)
total_compensation,Total Compensation (USD - Annual)
location,Location
